,Name,street_address,Postcode,Latitude,Longitude
85,Sweatshop,232 Metropolitan Ave,11211,40.7149542,-73.959786
86,Cull & Pistol Oyster Bar,75 9th Ave,10011,40.74265894,-74.00592854
87,Uotora,1075 Bergen St,11216,40.676369,-73.950486
88,La Loncheria,41 Wilson Ave,11237,40.702921,-73.929105
89,Aroma Trattoria,932 8th Ave,10019,40.76549,-73.98355
90,Enthaice Thai Kitchen,33-20 31st Ave,11106,40.76308893,-73.92132372
91,Mr.Chicken & Mrs.Tea,150-29 Crossbay Blvd,11417,40.6698487,-73.8423077
92,Reyes Deli & Grocery,532 4th Ave,11215,40.66731,-73.99162
93,El Artesano Restaurant,4101 Bergenline Ave,7087,40.777122,-74.02553499999999
94,Eva's Kitchen,11 W 8th St,10011,40.732822,-73.997152
95,Phil-Am Kusina,556 Tompkins Ave,10305,40.61230647,-74.07124693
96,Saigon Grill & Bar,4521 Ave N,11234,40.618829999999996,-73.93099000000001
97,PROOF Coffee Roasters,65 Nassau St,10038,40.709487,-74.008651
98,Amy Thai Bistro,545 Flatbush Ave,11225,40.660748,-73.960415
99,Jun-Men Ramen Bar,249 9th Ave,10001,40.748209,-74.00046999999999
100,Sergimmo Salumeria,456 9th Ave,10018,40.754296000000004,-73.995498
101,Yoon Haeundae Galbi,8 W 36th St,10018,40.749866,-73.984441
102,GUPJI,149-11A 41st Ave,11355,40.75945,-73.82558
103,Pink Moose,1070 1st Ave,10022,40.75911,-73.96212
104,Aji Sushi House,3606 Ditmars Blvd,11105,40.77420044,-73.90795135
105,Rice Noodle Cart,153 Centre St,10013,40.717931,-74.000283
106,5ive Spice,52 5th Ave,11217,40.681442,-73.977241
107,Vesta,21-02 30th Ave,11102,40.76961,-73.92775999999999
108,Voula,9 Jones St,10014,40.73235,-74.00222
109,Maiella,4610 Center Blvd,11109,40.74704166,-73.956579
110,212 Burgers,252 Prospect Park W,11215,40.65911833,-73.98162756
111,Ela Taverna,2619 23rd Ave,11105,40.776282,-73.915126
112,Harlem Blues Cafe,2144 Fifth Ave,10037,40.81054,-73.93961
113,B&B Restaurant Corporation,165 West 26th St,10001,40.7459112,-73.99360859999999
114,Scarpetta,88 Madison Ave,10016,40.744509,-73.9856
115,Zest Sushi,249 Broome St,10002,40.71783447,-73.98995972
116,La Casa,54 Newark St,7030,40.73689,-74.0301
117,Max Bratwurst und Bier,4702 30th Ave,11103,40.76124539,-73.90946120000001
118,Dario's Restaurant,20 Academy St,7102,40.7373619,-74.1725513
119,Casellula,401 W 52nd St,10019,40.764990000000004,-73.98835
120,Jongro BBQ,22 W 32nd St,10001,40.747514,-73.986884
121,Taim Mobile Falafel & Smoothie Truck,"New York, NY 10014",10014,40.73455429,-74.00621033
122,C&B,178 E 7th St,10009,40.72522719,-73.98163029999999
123,Parlay,4024 8th Ave,11232,40.6464,-73.99861999999999
124,Risotteria Melotti NYC,309 E 5th St,10003,40.72667336,-73.98809195
125,Misirizzi,36 E 4th St,10003,40.7272,-73.99228000000001
126,L'Atelier de Joël Robuchon,85 10th Ave,10011,40.743052,-74.00787199999999
127,Saigon Vietnamese Sandwich Deli,369 Broome St,10013,40.71995820000001,-73.9958631
128,Villa Brazil Cafe Grill,43-16 34th Ave,11101,40.75528961,-73.91800717
129,Lali Restaurant,630 10th Ave,10036,40.76128,-73.99391899999999
130,Juicology Kitchen,115 West 30th St,10001,40.747727000000005,-73.99038399999999
131,Pure Thai Cookhouse,766 9th Ave,10019,40.764291,-73.988159
132,The Cuban Restaurant and Bar,333 Washington St,7030,40.740990000000004,-74.02945
133,Fresh From Hell,326 W 47th St,10036,40.7608265,-73.9889803
134,La Lanterna Di Vittorio,129 MacDougal St,10012,40.73069,-74.00015
135,U-gu,541 Myrtle Ave,11205,40.69393,-73.96284
136,El Jeffe,1483 Fulton St,11216,40.6801601,-73.9419752
137,Joe's Pizza,1435 Broadway,10018,40.75458413,-73.98700392
138,Volare Restaurant,147 W 4th St Frnt,10012,40.73154344,-74.0006125
139,El Born,651 Manhattan Ave,11222,40.72434792,-73.95122261
140,B Squared,679 9th Ave,10036,40.761550899999996,-73.9906616
141,NY Gyro King,588A Bloomfield Ave,7003,40.793704,-74.198249
142,Russ & Daughters Cafe,127 Orchard St,10002,40.71962532,-73.98957589
143,19 Cleveland By Nish Nush,19 Cleveland Pl,10012,40.72164,-73.99722
144,Ruby's Cafe,219 Mulberry St,10012,40.72232879999999,-73.996326
145,Burmese Bites,5 Ct Sq W,11101,40.75820766,-73.942825
146,Dekalb Market Hall,445 Albee Square W,11201,40.691025,-73.983311
147,Matsuri,39-56 61st St,11377,40.7458357,-73.90354359999999
148,Pisticci,125 La Salle St,10027,40.8141624,-73.960288
149,La Shuk,1569 Lexington Ave,10029,40.78863,-73.94875
150,Renegades of Sunset,254 36th St,11232,40.655908000000004,-74.007526
151,General Store by Char Sue,119 Essex St,10002,40.719625,-73.98791526
152,A&A Bake and Double and Roti Shop,1337 Fulton St,11216,40.68043,-73.94795
153,Pabade Cafe and Bakery,135 East 110 St,10029,40.79506,-73.94474
154,Awesum Dimsum,160 E 23rd St,10010,40.73887,-73.98366
155,Hole In The Wall,15 Cliff St,10038,40.70837,-74.00563000000001
156,Chez Nick,1737 York Ave,10128,40.779014000000004,-73.945238
157,The Brazen Tavern,356 W 44th St,10036,40.75932693,-73.99131012
158,Nonnas 1977,41-02 Astoria Blvd,11103,40.76851,-73.90997
159,Douska,63 Delancey St,10002,40.7191369,-73.99089980000001
160,Macoletta,28-15 24th Ave,11102,40.77324229999999,-73.9164153
161,The Little Owl,90 Bedford St,10014,40.73238083,-74.005301
162,Milkflower,3412 31st Ave,11106,40.7628961,-73.92070809999998
163,Ippudo Westside,321 W 51st St,10019,40.76344,-73.98661
164,Taste of Bengal,2827 31st St,11102,40.76772095,-73.92046751
165,Lee's Tavern,60 Hancock St,10305,40.588756,-74.095153
166,Dar 525,525 Grand St,11211,40.711265999999995,-73.950317
167,Tony's Di Napoli,147 W 43rd St,10036,40.756409999999995,-73.98546999999999
168,International Wings Factory,1762 1st Ave,10128,40.78018345,-73.94675427
169,Sushi Yasaka,251 W 72nd St,10023,40.779583,-73.983482
170,Marea,240 Central Park S,10019,40.76742137,-73.98105544
171,Earl's Beer & Cheese,1259 Park Ave,10029,40.787290000000006,-73.95152
172,Luke's Lobster Upper East Side,242 E 81st St,10028,40.77473085,-73.95454919
173,Olea,171 Lafayette Ave,11238,40.6877844,-73.9706046
174,Liu's Shanghai,1869 Bath Ave,11214,40.60264119,-74.00387665
175,El Rey Del Taco Truck,33-01 30th Ave,11103,40.766220000000004,-73.91933
176,The Islands,671 Washington Ave,11238,40.67705238,-73.96341696
177,Rustic Table,504 W 42nd St,10036,40.759624,-73.9958265
178,Hobby's Delicatessen & Restaurant,32 Branford Pl,7102,40.73509,-74.17438
179,Il Falco,21-50 44th Dr,11101,40.74765957,-73.94553191
180,Double Zero,65 2nd Ave,10003,40.72612879999999,-73.9896645
181,Mama Chicken,252 Broad Ave,7650,40.847209899999996,-73.99807
182,David's Brisket House and Deli,533 Nostrand Ave,11216,40.679434,-73.949515
183,Hug Esan,77-16 Woodside Ave,11373,40.743646500000004,-73.8873753
184,Ippudo NY,65 4th Ave,10003,40.730920000000005,-73.99015
185,City Tamale,1316 Oak Point Ave,10474,40.810159999999996,-73.884653
186,Il Fornaio Bakery Cafe,29-14 30th Ave,11102,40.76758036,-73.92324286
187,Maison Pickle,2315 Broadway,10024,40.7870473,-73.97813609999999
188,Lucia Pizza,136-55 Roosevelt Ave,11354,40.76032,-73.82813
189,Gersi,316 Court St,11231,40.683438,-73.995711
190,District Saigon,37-15 Broadway,11103,40.7596365,-73.9199343
191,Family Corner Restaurant,2102 31st St,11105,40.77795029,-73.90898132
192,Au Cheval,33 Cortlandt Alley,10013,40.718387799999995,-74.0015522
193,Pearl Oyster Bar,18 Cornelia St,10014,40.731409899999996,-74.00197
194,Keens Steakhouse,72 W 36th St,10018,40.75071,-73.98652
195,Vietnaam,1700 2nd Ave,10128,40.7791481,-73.95041656
196,LOVE Korean BBQ,319 5th Ave,10016,40.747118,-73.985056
197,Piccoli Trattoria,522 6th Ave,11215,40.665184,-73.98654
198,B&H Dairy,127 2nd Ave,10003,40.728458399999994,-73.98816679999999
199,Ralpho's Pizza,794 Broad Ave,7657,40.839448299999994,-74.00396070000001
200,Vite Vinosteria,31-05 34th St,11106,40.76297343,-73.92119564
201,Sushi Ryusei,216 E 39th St,10016,40.74845,-73.97513000000001
202,Bruno's Ristorante,158-22A Crossbay Blvd,11414,40.659599299999996,-73.84339905
203,La Pulperia Hell's Kitchen,371 W 46th St,10036,40.76090378,-73.99052035
204,nonono,118 Madison Ave,10016,40.74545,-73.98499
205,Sushi Lab,132 W 47th St,10036,40.758417,-73.983301
206,Spring Shabu-Shabu,136-20 38th Ave,11354,40.76095271,-73.82957732
207,Cypress Inn,1702 Stanhope St,11385,40.705554,-73.915183
208,Sushi Zo | New York,88 W 3rd St,10012,40.7297821,-73.9992218
209,Brookside Market,43-15 Queens Blvd,11104,40.7437641,-73.9208344
210,The Cast Iron Pot,356 Bergen Blvd,7022,40.82128,-73.99911
211,Norma's Corner Shoppe,59-02 Catalpa Ave,11385,40.70224,-73.90075
212,C Greto's Modern Italian,132 Park Ave,7073,40.8324467,-74.09711425
213,Raku it's Japanese,212 East 52nd St,10022,40.756591,-73.969306
214,Pierre Loti Midtown,300 E 52nd St,10022,40.75587175,-73.96735506
215,Ix Restaurant,43 Lincoln Rd,11225,40.66091484,-73.96138925
216,Ringolevio,490 Humboldt St,11222,40.71907,-73.94337
217,Dive 106,938 Amsterdam Ave,10025,40.800779999999996,-73.96587
218,Poketeria,3 E 36th St,10016,40.7496948,-73.98318940000001
219,Le French Diner,188 Orchard St,10002,40.72182746,-73.98796899999999
220,Katsune Donkatsu Cafe,1400 Anderson Ave,7024,40.845420000000004,-73.97846
221,Menya Sandaime,1638 Parker Ave,7024,40.849738,-73.9677057
222,Sakagura,211 E 43rd St,10017,40.7516467,-73.97294893
223,Hot Potato House,109 Oriental Blvd,11235,40.57709038,-73.95266059999999
224,Chela & Garnacha,33-09 36th Ave,11106,40.75571715,-73.92781129
225,The Ryerson,698 Nostrand Ave,11216,40.67478,-73.95018
226,Roy's Fish Market,1138 1st Ave,10065,40.76173473,-73.96041717
227,Vetro Restaurant & Lounge,164-49 Crossbay Blvd,11414,40.649382,-73.837154
228,Umami Sushi,50 Greenwich Ave,10011,40.73571,-74.00044
229,Giuseppina's,691 6th Ave,11215,40.660343100000006,-73.99077415
230,Buddakan,75 9th Ave,10011,40.74227627,-74.0048001
231,Cronin & Phelan's,38-14 Broadway,11103,40.7589,-73.91941
232,Lazy Suzy Cafe & Shop,703 Hart St,11221,40.699459999999995,-73.92549
233,Forno Rosso,327 Gold St,11201,40.694466999999996,-73.98293000000001
234,Cafetal Social Club,285 Mott St,10012,40.724308,-73.994457
235,Zenkichi New York,77 N 6th St,11249,40.71897,-73.96081
236,Parker,6504 Park Ave,7093,40.78953,-74.00531
237,By the Way Bakery,2442 Broadway,10024,40.791002299999995,-73.9742942
238,Taureau,558 Broome St,10013,40.724511,-74.005701
239,Deninos Pizzeria & Tavern - Staten Island,524 Port Richmond Ave,10302,40.63022667,-74.14027549
240,Capizzi,547 9th Ave,10018,40.75744,-73.99356999999999
241,Wheated,905 Church Ave,11218,40.6465969,-73.97049503
242,Osteria 57,57 W 10th St,10011,40.73467,-73.99786
243,Me & Tommy's Restaurant and Bar,4 Essex St,7109,40.79498849,-74.15119171
244,Rosa's Pizza,6265 Fresh Pond Rd,11385,40.712192,-73.899997
245,Der Pioneer,737 Church Ave,11218,40.64606,-73.97216999999999
246,Mysttik Masaala,250 Park Ave,10172,40.7551374,-73.9760147
247,Aska,47 South 5th St,11249,40.71226,-73.96641
248,Banter,169 Sullivan St,10012,40.72787,-74.0010999
249,Honest Chops Butchery,319 E 9th St,10003,40.7289505,-73.9861298
250,Green Zenphony,95-26 Queens Blvd,11374,40.730219,-73.863865
251,Botte Bar,25-07 Broadway,11106,40.76334181,-73.92817509
252,The Factory 380,380 3rd Ave,10016,40.741640000000004,-73.98132
253,Silver Rice,638 Park Pl,11238,40.67421236,-73.95688914
254,Zyara NY,57 Clinton St,10002,40.719640000000005,-73.98507
255,Kimbap Lab,238 Bedford Ave,11249,40.71611,-73.95974
256,Barboncino Pizza & Bar,781 Franklin Ave,11238,40.672059999999995,-73.95716999999999
257,Smith Gourmet Deli,126 Smith St,11201,40.687509999999996,-73.99006999999999
258,Snack Stop,316 Broad Ave,7605,40.86158270000001,-73.98830244
259,Silver Light Tavern,689 Lorimer St,11211,40.71747,-73.95005
260,St Tropez West Village,304 W 4th St,10014,40.73704,-74.00386
261,SUROSS Thai Bistro,4131 Broadway,10033,40.846016,-73.9387367
262,L & B Spumoni Gardens,2725 86th St,11223,40.594715,-73.981316
263,Hortus NYC,271 5th Ave,10016,40.745481,-73.986518
264,Piz-zetta,90 Livingston St,11201,40.69128341,-73.99060292
265,Lechonera La Isla,254 E 125th St,10035,40.802710999999995,-73.934099
266,Boilery - East Village,58 3rd Ave,10003,40.731120000000004,-73.98898
267,Ramen Hood,62 Spring St,10012,40.72231127,-73.99737741
268,Sam's Falafel Stand,Cedar St And Broadway,10006,40.70903968,-74.01133809
269,The Burp Kitchen,7000 Kennedy Blvd E,7093,40.790152,-74.000747
270,Rawsome Treats,158 Orchard St,10002,40.720868700000004,-73.98867395
271,Snapdragon Coffee & Social,190 Monticello Ave,7304,40.72112,-74.06999
272,Pelicana Chicken,417 E Brinkerhoff Ave,7650,40.841249,-73.98822
273,Margherita Pizza,163-04 Jamaica Ave,11432,40.70458453,-73.79673606
274,Giano Restaurant,126 E 7th St,10009,40.72622566,-73.9840574
275,L'Antagoniste,238 Malcolm X Blvd,11221,40.68501,-73.92961
276,Boran,462 Court St,11231,40.6782327,-73.998062
277,1803,82 Reade St,10007,40.715498,-74.007178
278,Kona Coffee and Company,57 2nd Ave,10003,40.72587,-73.98988
279,Jora Restaurant & Bar,47-46 11th St,11101,40.7438054,-73.9515007
280,Hank's Juicy Beef,84 Chambers St,10007,40.7143487,-74.0072147
281,Nostro Ristorante,710 5th Ave,11215,40.660738,-73.99428499999999
282,Banh Mi Saigon,198 Grand St,10013,40.71929503,-73.99671602
283,Jajaja Plantas Mexicana,63 Carmine St,10014,40.72979,-74.00455
284,ZuriLee Restaurant,755 Flatbush Ave,11226,40.6545,-73.95945999999999
285,Bombay Grill,1176 Bedford Ave,11216,40.6839,-73.95417990000001
286,Benjamin Steakhouse,52 E 41st St,10017,40.7518,-73.97896
287,Sugarburg,519 Metropolitan Ave,11211,40.71411822,-73.95160619
288,Rhythm & Beets Juice Café,100-04 101st Ave,11416,40.685159999999996,-73.84185
289,Pitchounette81,245 East 81st St,10028,40.77496,-73.95437
290,The NoMad Restaurant,1170 Broadway,10001,40.7449,-73.98848199999999
291,Pye Boat Noodle,35-13 Broadway,11106,40.76043,-73.92152
292,Arepas Cafe,3307 36th Ave,11106,40.755835,-73.92769100000001
293,Rangoli Exquisite Indian Cuisine,1393 A 2nd Ave,10021,40.7693,-73.95823
294,ERT - El Rico Tinto Restaurant,73-18 Northern Blvd,11372,40.7546065,-73.8930553
295,Café Beit,158 Bedford Ave,11249,40.718678000000004,-73.95710940000001
296,Her Name Is Han,17 E 31st St,10016,40.746261600000004,-73.98473358
297,Tuome,536 E 5th St,10009,40.72412483,-73.98289063
298,Oiji,119 1st Ave,10003,40.727270000000004,-73.98585
299,Vite Vinosteria,31-05 34th St,11106,40.76297343,-73.92119564
300,Fedoroff's Roast Pork,178 N 10th St,11211,40.7189526,-73.9555245
301,The Greeks,461 Elm St,7032,40.769290000000005,-74.14145
302,MAKIINNY,32 E7th St,10003,40.72831,-73.98914
303,Cafe Triskell,33-04 36th Ave,11106,40.75570279,-73.92801357
304,South Brooklyn Foundry,6909 3rd Ave,11209,40.63539,-74.02601999999999
305,ROKC,3452 Broadway,10031,40.823505100000006,-73.95224250000001
306,Bolivian Llama Party,1000 S 8th Ave,10019,40.694983,-73.991036
307,Wabi Sabi,407 Broad St,7003,40.807359999999996,-74.1921
308,Calle Dao - Bryant Park,38 W 39th St,10018,40.752288899999996,-73.98414035
309,Java Day Cafe,16009 Northern Blvd,11358,40.762975299999994,-73.8052998
310,Forlini's Restaurant,93 Baxter St,10013,40.71695,-73.99956999999999
311,Ahimsa Garden,265 E 10th St,10009,40.728491,-73.98317800000001
312,Razzoli's Little Italy,599 Ridge Rd,7031,40.79785599,-74.12660798
313,Dunhuang Lanzhou Beef Noodle,136-93 37th Ave,11354,40.76244441,-73.82779140000001
314,Don Chingon,216 Flatbush Ave,11217,40.68104312,-73.97524033
315,Luigi's Pizza,686 5th Ave,11215,40.66163,-73.99334
316,Indian Accent,123 W 56th St,10019,40.76433446,-73.97873129
317,Mom's Kitchen & Bar,701 9th Ave,10019,40.76247,-73.9901
318,Brothers Taverna,23-01 Steinway St,11105,40.770927,-73.908159
319,Cafe Patoro,223 Front St,10038,40.707272100000004,-74.00231604
320,Lioni Italian Heroes,7803 15th Ave,11228,40.61572,-74.00482
321,Handsome Rice,133 E 31st St,10016,40.744659999999996,-73.98123000000001
322,Pelicana Chicken - Flushing,41-23 162nd St,11358,40.76075,-73.803787
323,Taboonette,30 E 13th St,10003,40.73460388,-73.99282837
324,Modern Love Brooklyn,317 Union Ave,11211,40.70983,-73.95109000000001
325,Hao Noodle Chelsea,343 W 14th St,10014,40.7406999,-74.00435999999999
326,Taci's Beyti,1953 Coney Island Ave,11223,40.609559999999995,-73.96209
327,Murasaki,4644 Vernon Blvd,11101,40.74577649,-73.95325547
328,Kitchen 79,37-70 79th St,11372,40.747551,-73.8868866
329,Kame Ramen,330 8th Ave,10038,40.74748811,-73.99664886
330,Scalini Fedeli,165 Duane St,10013,40.71739644,-74.00932775
331,Holy Pita,10 Clermont Ave,11205,40.697559999999996,-73.9719
332,Rumba Cubana,235 Pavonia Ave,7302,40.72748,-74.043858
333,The Chick Shop,805 3rd Ave,10022,40.75537,-73.97054
334,The Lobster Place,75 9th Ave,10011,40.74274139,-74.00601181
335,Prince Tea House,31-47 Steinway St,11103,40.76008264,-73.91793009
336,Mazzat,208 Columbia St,11231,40.684942,-74.003028
337,Lilly's Craft and Kitchen,675 9th Ave,10036,40.761379999999996,-73.99070999999999
338,Falafel Tanami,1305 E 17th St,11230,40.6196559,-73.9582359
339,Cafe Belle,280 Mulberry St,10012,40.72437,-73.99509
340,Skewr Kabob Kitchen,34 East 23rd St,10010,40.7405,-73.98751999999999
341,Laly's Restaurant,75-19 Roosevelt Ave,11372,40.747207,-73.8897241
342,Cuisine By Claudette,143 Beach 116th St,11694,40.5788,-73.83699
343,Ammazzacaffè,702 Grand St,11211,40.7113172,-73.9446243
344,Kyo Ya,94 E 7th St,10009,40.7267,-73.98534000000001
345,Sushi by Bou Flatiron,49 W 20th St,10011,40.74094,-73.9937
346,Amber Steak House,119 Nassau Ave,11222,40.72446417,-73.94901804
347,DokoDemo,89 E 4th St,10003,40.72638,-73.98964000000001
348,Companion Cafe,64 6th Ave,11217,40.6809842,-73.97457209999999
349,19 Cafe,84 Manhattan Ave,11206,40.70515,-73.9444199
350,Hansol Nutrition Center,160-26 Northern Blvd,11358,40.762701,-73.8053413
351,Gelateria Gentile,253 Wythe Ave,11249,40.7161757,-73.9637628
352,De Mole,2 Hope St,11211,40.713770000000004,-73.95786
353,5th Avenue Market & Gourmet Deli,185 5th Ave,11217,40.677054999999996,-73.979725
354,Blueprint,196 5th Ave,11217,40.6769,-73.980411
355,Sottocasa Pizzeria,298 Atlantic Ave,11201,40.688285,-73.989006
356,Defontes,379 Columbia St,11231,40.67894444,-74.00536913
357,Nai Tapas,85 2nd Ave,10003,40.726794899999994,-73.98928149999999
358,Cafe Alula,252 Franklin St,11222,40.734609999999996,-73.95822
359,Gelso & Grand,186 Grand St,10013,40.71940895,-73.99737779
360,Van Hook Cheese & Grocery,528 Jersey Ave,7302,40.720929999999996,-74.04621999999999
361,Taverna Kyclades,3307 Ditmars Blvd,11105,40.775322700000004,-73.909217
362,Ba'al Cafe & Falafel,71 Sullivan St,10012,40.724469899999995,-74.0039
363,Nicks Bistro,104-20 Metropolitan Ave,11375,40.709937,-73.84830589
364,The Dumpling Shop,124 2nd Ave,10003,40.72819806,-73.98774459
365,JeJu Noodle Bar,679 Greenwich St,10014,40.73304,-74.00734
366,Loring Place,21 W 8th St,10011,40.73299408,-73.99753571
367,Soup Dumpling Plus,1550 Lemoine Ave,7024,40.847570000000005,-73.9706099
368,15 Fox Place,15 Fox Pl,7306,40.733709999999995,-74.07251
369,The Cast Iron Pot 2,320 Bergen Blvd,7022,40.82018,-73.99984
370,Chow House,181 Bleecker St,10012,40.72915,-74.00072
371,Love Cafe,283 Pleasant Ave,10029,40.79458274,-73.93370504
372,Tian Jin Dumpling House,37-11 Main St,11355,40.761393,-73.830363
373,Blue Hill,75 Washington Pl,10011,40.73206403,-73.9996931
374,Dayi'nin Yeri,333 Palisade Ave,7010,40.81584,-73.991
375,Punchline Juice Bar,638 Nostrand Ave,11216,40.67656316,-73.9500241
376,Leo's Latticini Mama's,46-02 104th St,11368,40.746219,-73.860061
377,Bernie's,332 Driggs Ave,11222,40.72191239,-73.95059300000001
